what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1477693445007
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1477693445008
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1477693445010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477693446075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477693591041
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477693595438
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1477693703923
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1477693708084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477693714846
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477693722163
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477693722389
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477693722437
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1477693722616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477693723640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477694488480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477694491533
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477694492785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477694492864
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477694497760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477694520389
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1477694529322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477694529463
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1477694531850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477694547027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477694549024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477694549580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477694690101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477694691153
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477694692079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477694692121
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477694693832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477694695931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477694700363
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477694701777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477864929288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477934312571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477934312852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477934314863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1477934347863
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477934349506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477934352555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477934356722
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1477934358057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477934369835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477934746631
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477934754122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1477934807878
