what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477962861446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477963059428
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1477963061294
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1477963065962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477963069368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477964174194
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477964176220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477964189221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477964251896
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1477964253891
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1477964255894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477964256843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477964284100
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1477964285722
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1477964287138
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1477964287161
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1477964287963
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1477964295266
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1477964295657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477964307723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477964310169
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1477964313144
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1477964315028
