what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480953217845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480953371536
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480953380225
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480953418581
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480953482061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480953546799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480953709734
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480953709756
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480953712864
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480953720550
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480953774964
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480953836502
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480953845348
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480953860012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480953864558
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480953866007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1480953897156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480953897165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480953901684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480953972054
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480953978291
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480954012459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954014526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954546079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954558693
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1480954559237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954559242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954559686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954562197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954571483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954575028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954579013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954594088
executed,command,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project.commands.bspEditor",1480954596951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954597254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954607539
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480954608802
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480954608811
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480954610227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954610974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954611647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1480954614188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954614196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954634252
executed,command,com.altera.sbtgui.flash.plugin,13.13.0.132,"com.altera.sbtgui.flash.plugin.commands.flashCommand",1480954637196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954637501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954673741
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480954676567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954679386
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1480954690926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480954690932
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480954691341
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480954691614
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-5]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1480954692481
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480954709337
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480955000608
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480955005081
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480955012503
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480955012504
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480955017410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480955020002
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1480955035502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480955035506
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480955035912
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480955036165
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-5]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1480955037045
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480955053780
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480955065594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480955070788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480955089767
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480955096348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480955098632
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1480955110564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480955110569
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480955110978
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480955111240
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-5]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1480955112160
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480955128871
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480955156710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480955160005
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1480955160666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480955160677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480955176316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480955325407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480955328561
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1480955329496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480955329501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480955331722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480955416684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480955420456
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1480955421427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480955421432
