what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1480804154613
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1480804154623
executed,command,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.properties.NewPropertySheetCommand",1480804154626
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1480804160742
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480804161563
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1480804162891
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480804168907
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1480804168914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804170555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804170851
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1480804178385
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480804178411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804184332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804184337
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1480804186580
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480804187519
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480804207780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804210512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804226507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804227995
error,log,,,"An internal error occurred during: ""Build Project"".",1480804235909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804238052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804247192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804247426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804252557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804264386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804264452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804265040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804270031
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1480804270437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804270444
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480804270913
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1480804271109
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [1-5]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1480804272028
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1480804288639
executed,command,com.altera.sbtgui.flash.plugin,13.13.0.132,"com.altera.sbtgui.flash.plugin.commands.flashCommand",1480804309882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804310177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804377391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804378441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480804416209
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480804416233
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480804418792
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480804432463
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480804432526
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480804432548
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480804439041
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480804439097
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480804439097
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1480804439115
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480804441425
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480804441542
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1480804441557
