what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1477960653895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1477960662996
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1477960663640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1477960664480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1477960665292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1477960665883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1477960666908
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477960668596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477960670429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477960673019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477960673197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477960674725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477960676950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477960677408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477960680468
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1477960681400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477960681410
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1477960682404
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1477960702998
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [2-1.2]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1477960703743
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1477960705880
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1477960735626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477960752282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477960925395
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1477960939877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1477960941350
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1477960955942
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1477960964932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1477960966279
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477960970215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477960972391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477960973200
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1477960983128
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1477960984711
